INSERT INTO transaction (transactionID, customerID, promoID, posID, DATE, time) VALUES

('T0000001', 'C0000070', '', 'POS00001', 20180101, 083248), 
('T0000409', 'C0000076', '', 'POS00004', 20181021, 081542), 

('T0000410', 'C0000075', '', 'POS00005', 20181021, 111814), 

('T0000411', 'C0000077', '', 'POS00002', 20181022, 162042), 

('T0000412', 'C0000058', '', 'POS00001', 20181022, 185323), 

('T0000413', 'C0000064', '', 'POS00005', 20181023, 152109), 

('T0000414', 'C0000009', '', 'POS00001', 20181025, 102538), 

('T0000415', 'C0000049', '', 'POS00003', 20181025, 113535), 

('T0000416', 'C0000075', '', 'POS00002', 20181026, 125823), 

('T0000417', 'C0000018', '', 'POS00005', 20181026, 143014), 

('T0000418', 'C0000007', '', 'POS00003', 20181026, 183019), 

('T0000419', 'C0000034', '', 'POS00001', 20181027, 090509), 

('T0000420', 'C0000062', '', 'POS00001', 20181027, 131255), 

('T0000421', 'C0000006', '', 'POS00005', 20181030, 145713), 

('T0000422', 'C0000077', '', 'POS00005', 20181101, 084554), 

('T0000423', 'C0000098', '', 'POS00005', 20181101, 182739), 

('T0000424', 'C0000095', '', 'POS00001', 20181101, 194634), 

('T0000425', 'C0000003', '', 'POS00004', 20181102, 102808), 

('T0000426', 'C0000091', '', 'POS00003', 20181102, 131722), 

('T0000427', 'C0000076', '', 'POS00002', 20181103, 132951), 

('T0000428', 'C0000090', '', 'POS00005', 20181104, 165353), 

('T0000429', 'C0000038', '', 'POS00003', 20181105, 112517), 

('T0000430', 'C0000092', '', 'POS00003', 20181105, 163820), 

('T0000431', 'C0000054', '', 'POS00005', 20181105, 194920), 

('T0000432', 'C0000078', '', 'POS00001', 20181106, 164310), 

('T0000433', 'C0000085', '', 'POS00002', 20181107, 193044), 

('T0000434', 'C0000022', '', 'POS00004', 20181108, 093633), 

('T0000435', 'C0000037', '', 'POS00005', 20181109, 133445), 

('T0000436', 'C0000097', '', 'POS00005', 20181109, 143431), 

('T0000437', 'C0000063', '', 'POS00002', 20181110, 145746), 

('T0000438', 'C0000091', '', 'POS00003', 20181110, 152849), 

('T0000439', 'C0000070', '', 'POS00005', 20181111, 095334), 

('T0000440', 'C0000096', '', 'POS00002', 20181111, 105532), 

('T0000441', 'C0000069', '', 'POS00005', 20181112, 134920), 

('T0000442', 'C0000026', '', 'POS00002', 20181113, 150304), 

('T0000443', 'C0000063', '', 'POS00001', 20181114, 161733), 

('T0000444', 'C0000089', '', 'POS00001', 20181117, 135034), 

('T0000445', 'C0000074', '', 'POS00001', 20181117, 144459), 

('T0000446', 'C0000069', '', 'POS00001', 20181118, 162656), 

('T0000447', 'C0000060', '', 'POS00001', 20181119, 111846), 

('T0000448', 'C0000043', '', 'POS00002', 20181119, 163510), 

('T0000449', 'C0000017', '', 'POS00001', 20181119, 172503), 

('T0000450', 'C0000094', '', 'POS00005', 20181121, 175118), 

('T0000451', 'C0000064', '', 'POS00004', 20181123, 101849), 

('T0000452', 'C0000090', '', 'POS00002', 20181123, 192528), 

('T0000453', 'C0000070', '', 'POS00001', 20181124, 133240), 

('T0000454', 'C0000003', '', 'POS00002', 20181124, 134401), 

('T0000455', 'C0000071', '', 'POS00004', 20181124, 140745), 

('T0000456', 'C0000100', '', 'POS00005', 20181126, 090751), 

('T0000457', 'C0000012', '', 'POS00004', 20181126, 193537), 

('T0000458', 'C0000051', '', 'POS00002', 20181127, 145406), 

('T0000459', 'C0000080', '', 'POS00003', 20181128, 173408), 

('T0000460', 'C0000044', '', 'POS00005', 20181129, 190452), 

('T0000461', 'C0000035', '', 'POS00004', 20181201, 101948), 

('T0000462', 'C0000017', '', 'POS00002', 20181201, 102720), 

('T0000463', 'C0000030', '', 'POS00005', 20181201, 192138), 

('T0000464', 'C0000012', '', 'POS00004', 20181203, 084737), 

('T0000465', 'C0000014', '', 'POS00002', 20181203, 113243), 

('T0000466', 'C0000043', '', 'POS00001', 20181203, 131901), 

('T0000467', 'C0000066', '', 'POS00002', 20181203, 154801), 

('T0000468', 'C0000096', '', 'POS00004', 20181205, 141636), 

('T0000469', 'C0000074', '', 'POS00002', 20181207, 090157), 

('T0000470', 'C0000020', '', 'POS00003', 20181207, 091147), 

('T0000471', 'C0000072', '', 'POS00002', 20181207, 154840), 

('T0000472', 'C0000017', '', 'POS00001', 20181208, 111847), 

('T0000473', 'C0000055', '', 'POS00001', 20181210, 142617), 

('T0000474', 'C0000013', '', 'POS00001', 20181210, 191813), 

('T0000475', 'C0000012', '', 'POS00001', 20181211, 192140), 

('T0000476', 'C0000007', '', 'POS00004', 20181213, 081051), 

('T0000477', 'C0000022', '', 'POS00004', 20181213, 084954), 

('T0000478', 'C0000070', '', 'POS00002', 20181213, 132041), 

('T0000479', 'C0000015', '', 'POS00005', 20181214, 105122), 

('T0000480', 'C0000018', '', 'POS00005', 20181214, 162818), 

('T0000481', 'C0000017', '', 'POS00002', 20181214, 162823), 

('T0000482', 'C0000035', '', 'POS00001', 20181215, 152816), 

('T0000483', 'C0000082', '', 'POS00005', 20181217, 184213), 

('T0000484', 'C0000046', '', 'POS00001', 20181218, 191119), 

('T0000485', 'C0000043', '', 'POS00004', 20181220, 114133), 

('T0000486', 'C0000068', '', 'POS00002', 20181220, 171326), 

('T0000487', 'C0000044', '', 'POS00003', 20181220, 180220), 

('T0000488', 'C0000066', '', 'POS00004', 20181221, 150924), 

('T0000489', 'C0000083', '', 'POS00005', 20181223, 142030), 

('T0000490', 'C0000014', '', 'POS00005', 20181224, 143749), 

('T0000491', 'C0000035', '', 'POS00005', 20181225, 165225), 

('T0000492', 'C0000063', '', 'POS00003', 20181225, 191452), 

('T0000493', 'C0000086', '', 'POS00002', 20181226, 094021), 

('T0000494', 'C0000083', '', 'POS00004', 20181227, 110814), 

('T0000495', 'C0000073', '', 'POS00005', 20181228, 132352), 

('T0000496', 'C0000026', '', 'POS00005', 20181229, 133600), 

('T0000497', 'C0000014', '', 'POS00004', 20181229, 144152), 

('T0000498', 'C0000018', '', 'POS00003', 20181230, 082800), 

('T0000499', 'C0000080', '', 'POS00005', 20181230, 140258), 

('T0000500', 'C0000015', '', 'POS00005', 20181230, 172802);
